order,replicate,arm_id,run_id,attempt_number,sequence,trace_line,call_index,event,tool,paths,summary,attempt_resolved,hidden_passed,hidden_total,failed_probe_ids
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,1,17,1,search,shell_command,,"{""command"":""rg --files"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,2,18,1,file_read,shell_command,pyproject.toml,"{""command"":""Get-Content -LiteralPath pyproject.toml"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,3,19,1,file_read,shell_command,README.md,"{""command"":""Get-Content -LiteralPath README.md"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,4,27,1,file_read,shell_command,src//reservation_fixture//cancellation//service.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\cancellation\\service.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,5,28,1,file_read,shell_command,src//reservation_fixture//api//cancellation.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\api\\cancellation.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,6,29,1,file_read,shell_command,src//reservation_fixture//api//reservation.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\api\\reservation.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,7,30,1,file_read,shell_command,tests//test_cancellation_service.py,"{""command"":""Get-Content -LiteralPath tests\\test_cancellation_service.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,8,38,1,file_read,shell_command,src//reservation_fixture//api//schemas.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\api\\schemas.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,9,39,1,file_read,shell_command,src//reservation_fixture//api//serializer.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\api\\serializer.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,10,40,1,file_read,shell_command,src//reservation_fixture//domain//errors.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\domain\\errors.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,11,41,1,file_read,shell_command,tests//test_reservation_api.py,"{""command"":""Get-Content -LiteralPath tests\\test_reservation_api.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,12,42,1,file_read,shell_command,tests//test_api_schemas.py,"{""command"":""Get-Content -LiteralPath tests\\test_api_schemas.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,13,43,1,file_read,shell_command,src//reservation_fixture//repositories//memory.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\repositories\\memory.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,14,52,1,file_read,shell_command,src//reservation_fixture//domain//models.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\domain\\models.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,15,53,1,file_read,shell_command,src//reservation_fixture//events//cancellation_audit.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\events\\cancellation_audit.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":...",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,16,54,1,file_read,shell_command,src//reservation_fixture//events//audit.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\events\\audit.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,17,55,1,file_read,shell_command,src//reservation_fixture//events//publisher.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\events\\publisher.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,18,56,1,file_read,shell_command,src//reservation_fixture//reservation//ports.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\reservation\\ports.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,19,57,1,file_read,shell_command,tests//test_service.py,"{""command"":""Get-Content -LiteralPath tests\\test_service.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,20,66,1,file_read,shell_command,src//reservation_fixture//reservation//service.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\reservation\\service.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,21,67,1,file_read,shell_command,tests//test_models.py,"{""command"":""Get-Content -LiteralPath tests\\test_models.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,22,68,1,file_read,shell_command,tests//test_repositories.py,"{""command"":""Get-Content -LiteralPath tests\\test_repositories.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,23,69,1,file_read,shell_command,tests//test_allocation.py,"{""command"":""Get-Content -LiteralPath tests\\test_allocation.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,24,70,1,file_read,shell_command,src//reservation_fixture//fixtures.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\fixtures.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,25,80,1,file_read,shell_command,src//reservation_fixture//api//__init__.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\api\\__init__.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,26,81,1,file_read,shell_command,src//reservation_fixture//cancellation//__init__.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\cancellation\\__init__.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,27,82,1,file_read,shell_command,src//reservation_fixture//events//__init__.py,"{""command"":""Get-Content -LiteralPath src\\reservation_fixture\\events\\__init__.py"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,28,83,1,search,shell_command,,"{""command"":""rg \""cancel|cancellation|reservation\\.\"" src tests"",""workdir"":""D:\\code\\workspace\\half-experiment-runs\\reservation-v4-natural\\H_no_handoff\\20260717T022617Z-1196afcf\\workspace"",""timeout_ms"":10000}",1,10,10,
